,Unnamed: 0,sent,gpt_extracted_norms
80,80,"If AbbVie provides the License Option Exercise Notice during the License Option Period, upon AbbVie's request, the Parties shall work together in good faith to conduct an analysis of whether any filings or notifications are or may be required to be filed under the HSR Act (the ""HSR Filing"") or any similar applicable foreign law or regulation in connection with AbbVie's exercise of the License Option.","Norm 1:
1. Norm type: Commitment
2. Subject: AbbVie
3. Object: Parties
4. Antecedent: AbbVie provides the License Option Exercise Notice during the License Option Period
5. Consequent: Parties shall work together in good faith to conduct an analysis of whether any filings or notifications are or may be required to be filed under the HSR Act or any similar applicable foreign law or regulation in connection with AbbVie's exercise of the License Option.

Norm 2:
1. Norm type: Authorization
2. Subject: Parties
3. Object: AbbVie
4. Antecedent: AbbVie's request
5. Consequent: Parties shall work together in good faith to conduct an analysis of whether any filings or notifications are or may be required to be filed under the HSR Act or any similar applicable foreign law or regulation in connection with AbbVie's exercise of the License Option."
81,81,Such insurance shall be with a reputable insurance company and where  reasonably possible (taking into account the availability of such insurance) shall be maintained for not less than [**] ([**]) years following  the expiry or termination of this Agreement.,"1. Norm type: commitment
2. Subject: the party obtaining the insurance
3. Object: the party requiring the insurance to be maintained
4. Antecedent: the expiry or termination of the Agreement
5. Consequent: maintaining the insurance for a specified number of years"
82,82,"If AbbVie notifies Harpoon in writing within [***] after receipt of such copy that AbbVie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the Proposed Future In-Licensed Rights as they apply to AbbVie and this Agreement, then the Proposed Future In-Licensed Rights shall automatically be included in the Harpoon Patents and/or Harpoon Know-How (as applicable) hereunder and AbbVie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to AbbVie and this Agreement, including payment of any financial obligations based upon AbbVie's practice of such intellectual property rights.","Norm 1:
1. Norm type: Commitment
2. Subject: AbbVie
3. Object: Harpoon
4. Antecedent: AbbVie notifies Harpoon in writing within [***] after receipt of such copy that AbbVie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the Proposed Future In-Licensed Rights as they apply to AbbVie and this Agreement
5. Consequent: Proposed Future In-Licensed Rights shall automatically be included in the Harpoon Patents and/or Harpoon Know-How (as applicable) hereunder and AbbVie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to AbbVie and this Agreement, including payment of any financial obligations based upon AbbVie's practice of such intellectual property rights.

Norm 2:
1. Norm type: Authorization
2. Subject: Harpoon
3. Object: AbbVie
4. Antecedent: AbbVie notifies Harpoon in writing within [***] after receipt of such copy that AbbVie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the Proposed Future In-Licensed Rights as they apply to AbbVie and this Agreement
5. Consequent: Proposed Future In-Licensed Rights shall automatically be included in the Harpoon Patents and/or Harpoon Know-How (as applicable) hereunder and AbbVie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to AbbVie and this Agreement, including payment of any financial obligations based upon AbbVie's practice of such intellectual property rights."
83,83,"You may not permit the Franchised Business to be operated, managed, directed, or controlled by any other person without our prior written consent.","Norm 1:
1. Norm type: Prohibition
2. Subject: You
3. Object: Franchised Business
4. Antecedent: Permitting the Franchised Business to be operated, managed, directed, or controlled by any other person
5. Consequent: Without prior written consent"
84,84,"Both parties shall have the right to terminate this Agreement at any time, for any or for no reason, upon one hundred twenty (120) days written notice to the other party.","1. Norm type: authorization, power
2. Subject: Both parties
3. Object: Each other
4. Antecedent: One hundred twenty (120) days written notice
5. Consequent: Termination of the Agreement"
85,85,You must immediately notify us of any changes in the terms of an offer.,"Norm 1:
1. Norm type: Commitment
2. Subject: You
3. Object: us
4. Antecedent: any changes in the terms of an offer
5. Consequent: immediate notification

Norm 2:
1. Norm type: Authorization
2. Subject: You
3. Object: us
4. Antecedent: any changes in the terms of an offer
5. Consequent: notification"
86,86,"Distributor agrees not to use in any manner whatsoever the marks, logos, images and copy of Vendor following the expiration or termination of this Agreement, except as may be needed to sell any Products remaining in Distributor's inventory.","Norm 1:
1. Norm type: Prohibition
2. Subject: Distributor
3. Object: Vendor
4. Antecedent: expiration or termination of this Agreement
5. Consequent: not to use the marks, logos, images, and copy of Vendor

Norm 2:
1. Norm type: Authorization
2. Subject: Vendor
3. Object: Distributor
4. Antecedent: expiration or termination of this Agreement
5. Consequent: may be needed to sell any Products remaining in Distributor's inventory"
87,87,"of the data then in RevMed's Control regarding the relevant SHP1-SHP2 Dual Inhibitor. Sanofi shall notify RevMed in writing (a ""Notice of Interest""), within [***] after Sanofi's receipt of such notice, if Sanofi desires to enter into negotiations with RevMed of the terms under which Sanofi would obtain SHP1-SHP2 Dual Inhibitor License Rights.","Norm 1:
1. Norm type: Authorization
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: Sanofi desires to enter into negotiations with RevMed of the terms under which Sanofi would obtain SHP1-SHP2 Dual Inhibitor License Rights
5. Consequent: Sanofi would obtain SHP1-SHP2 Dual Inhibitor License Rights

Norm 2:
1. Norm type: Commitment
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: Sanofi's receipt of the Notice of Interest
5. Consequent: Sanofi shall notify RevMed in writing if Sanofi desires to enter into negotiations with RevMed of the terms under which Sanofi would obtain SHP1-SHP2 Dual Inhibitor License Rights."
88,88,"Upon the occurrence of any of the following, WGT may      terminate the Term by giving Distributor written notice of such termination      for:<omitted>WGT giving Distributor ninety (90) days' advance written notice of      termination at any time after the expiration of the Initial Term.","1. Norm type: authorization
2. Subject: WGT
3. Object: Distributor
4. Antecedent: Occurrence of any of the specified events
5. Consequent: Termination of the Term"
89,89,"If DIALOG is acquired by a third party, DIALOG's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to ENERGOUS.","Norm 1:
1. Norm type: Authorization
2. Subject: DIALOG's acquirer
3. Object: ENERGOUS
4. Antecedent: DIALOG is acquired by a third party
5. Consequent: DIALOG's acquirer will have the right to terminate the Agreement upon written notice to ENERGOUS.

Norm 2:
1. Norm type: Commitment
2. Subject: DIALOG's acquirer
3. Object: ENERGOUS
4. Antecedent: DIALOG is acquired by a third party
5. Consequent: DIALOG's acquirer commits to terminating the Agreement upon written notice to ENERGOUS."
90,90,"On any termination of this Agreement under Section 5.l (a), (b), or (c) all outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants","Norm 1:
1. Norm type: Commitment
2. Subject: Consultant
3. Object: Not specified
4. Antecedent: Termination of the Agreement under Section 5.1 (a), (b), or (c)
5. Consequent: All outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants

Norm 2:
1. Norm type: Authorization
2. Subject: Consultant
3. Object: Not specified
4. Antecedent: Termination of the Agreement under Section 5.1 (a), (b), or (c)
5. Consequent: All outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants

Norm 3:
1. Norm type: Power
2. Subject: Consultant
3. Object: Not specified
4. Antecedent: Termination of the Agreement under Section 5.1 (a), (b), or (c)
5. Consequent: All outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants"
91,91,"Bioeq may terminate this Agreement immediately upon written notice to Licensee, if Licensee conducts any clinical development of, markets, sells or distributes any Competitive Product in the Territory, whether directly or indirectly through the intermediary of a Third Party or its Affiliates (Restricted Activities); provided, that in the event that Restricted Activities are being or would be deemed to be conducted by Licensee solely in connection with a Competitor Change of Control, Bioeq may not terminate this Agreement in accordance with this Section 15.2.2 and instead may terminate this Agreement in accordance with Section 15.2.9.","1. Norm type: Prohibition
2. Subject: Bioeq
3. Object: Licensee
4. Antecedent: Licensee conducts any clinical development of, markets, sells or distributes any Competitive Product in the Territory, whether directly or indirectly through the intermediary of a Third Party or its Affiliates (Restricted Activities)
5. Consequent: Bioeq may terminate this Agreement immediately upon written notice to Licensee"
92,92,"In the event of termination or expiration of this Agreement             pursuant to Section 5.0 above, IBM shall have an option, which             shall expire [*] days after such termination or expiration, to             purchase from MSL, at a reasonable price agreeable to the Parties,             all assets used by MSL to perform the manufacturing and fulfillment             functions<omitted>outlined in Attachment 1: Statement of Work, to the extent owned or             transferable by MSL, and required by IBM to perform such functions.","1. Norm type: Authorization
2. Subject: IBM
3. Object: MSL
4. Antecedent: Termination or expiration of the Agreement
5. Consequent: IBM has the option to purchase assets from MSL at a reasonable price. 

2. Norm type: Commitment
2. Subject: MSL
3. Object: IBM
4. Antecedent: Termination or expiration of the Agreement
5. Consequent: MSL commits to selling assets to IBM if IBM chooses to purchase them."
93,93,"If a Change in Control occurs with respect to Customer, Metavante agrees to continue to provide Services under this Agreement; provided that (a) Metavante's obligation to provide Services shall be limited to the Entities comprising the Customer prior to such Change in Control and (b) Metavante's obligation to provide Services shall be limited in any and all circumstances to the number of accounts processed in the three (3) -month period prior to such Change in Control occurring, plus twenty-five percent (25%).","Norm 1:
1. Norm type: Commitment
2. Subject: Metavante
3. Object: Customer
4. Antecedent: Change in Control occurs with respect to Customer
5. Consequent: Metavante agrees to continue to provide Services under this Agreement

Norm 2:
1. Norm type: Commitment
2. Subject: Metavante
3. Object: Entities comprising the Customer prior to Change in Control
4. Antecedent: Change in Control occurs with respect to Customer
5. Consequent: Metavante's obligation to provide Services shall be limited to the Entities comprising the Customer prior to such Change in Control

Norm 3:
1. Norm type: Commitment
2. Subject: Metavante
3. Object: Number of accounts processed in the three (3)-month period prior to Change in Control
4. Antecedent: Change in Control occurs with respect to Customer
5. Consequent: Metavante's obligation to provide Services shall be limited to the number of accounts processed in the three (3)-month period prior to such Change in Control occurring, plus twenty-five percent (25%)"
94,94,"The parties acknowledge and agree that a ""Release Condition"" for purposes of the Escrow Agreement shall be deemed to mean any one or more of the following listed events (in addition to any other event specified as a release condition under the Escrow Agreement):<omitted>(vi) Ehave undergoes a change of control or is a party to a merger or amalgamation;","1. Norm type: authorization
2. Subject: Ehave
3. Object: parties to the contract
4. Antecedent: Ehave undergoes a change of control or is a party to a merger or amalgamation
5. Consequent: Release Condition is deemed to mean any one or more of the listed events"
95,95,"Within [***] after receipt of such cessation request, Distributor shall provide Zogenix an estimate of the quantity and shelf life of all Product remaining in Distributor's or its Affiliates' or Sub-distributors' inventory, and Zogenix shall have the right to purchase any such quantities of Product from Distributor at a price mutually agreed by the Parties.","Norm 1:
1. Norm type: Authorization
2. Subject: Distributor
3. Object: Zogenix
4. Antecedent: Distributor providing an estimate of the quantity and shelf life of all Product remaining in inventory
5. Consequent: Zogenix having the right to purchase any such quantities of Product from Distributor at a price mutually agreed by the Parties

Norm 2:
1. Norm type: Commitment
2. Subject: Zogenix
3. Object: Distributor
4. Antecedent: Distributor providing an estimate of the quantity and shelf life of all Product remaining in inventory
5. Consequent: Distributor ensuring Zogenix's right to purchase any such quantities of Product at a price mutually agreed by the Parties"
96,96,"Except as otherwise provided in Subsection 3(b) below, within [*]     calendar days after termination or expiration of the Agreement (or this     Attachment 6, in the event of termination in part) for any reason,     MSL shall return to IBM all MS Software Image(s) master media and all MS     Software Image documentation which has not been placed in a Product package     prior to such termination or expiration, and MSL shall provide written     notice to IBM signed by a representative certifying that MSL has fulfilled     such requirements.","Norm 1:
1. Norm type: Commitment
2. Subject: MSL
3. Object: IBM
4. Antecedent: Termination or expiration of the Agreement (or Attachment 6)
5. Consequent: MSL shall return all MS Software Image(s) master media and documentation to IBM within [*] calendar days and provide written notice certifying fulfillment of requirements.

Norm 2:
1. Norm type: Commitment
2. Subject: MSL
3. Object: IBM
4. Antecedent: None
5. Consequent: MSL shall return all MS Software Image(s) master media and documentation to IBM within [*] calendar days and provide written notice certifying fulfillment of requirements."
97,97,"ExxonMobil may terminate this Agreement upon fifteen (15) days written notice, without penalty, payment or prejudice to claims and obligations then accrued, if FCE undergoes a Change in Control.","Norm 1:
1. Norm type: Power
2. Subject: ExxonMobil
3. Object: FCE
4. Antecedent: FCE undergoes a Change in Control
5. Consequent: ExxonMobil may terminate the Agreement upon fifteen (15) days written notice, without penalty, payment, or prejudice to claims and obligations then accrued. 

Norm 2:
1. Norm type: Commitment
2. Subject: FCE
3. Object: ExxonMobil
4. Antecedent: ExxonMobil terminates the Agreement upon fifteen (15) days written notice
5. Consequent: FCE ensures no penalty, payment, or prejudice to claims and obligations then accrued."
98,98,"In the event that MSL owns the tooling and has received a bona fide             third party offer to purchase any or all of the tooling, before MSL             may accept such offer, MSL shall notify IBM in writing, and IBM             shall have [*] Days after such notice to agree to purchase such             tooling on the same terms and conditions as such third party offer.","Norm 1:
1. Norm type: Authorization
2. Subject: MSL
3. Object: IBM
4. Antecedent: MSL owns the tooling and has received a bona fide third party offer to purchase any or all of the tooling
5. Consequent: IBM shall have [*] Days after such notice to agree to purchase such tooling on the same terms and conditions as such third party offer.

Norm 2:
1. Norm type: Commitment
2. Subject: IBM
3. Object: MSL
4. Antecedent: MSL owns the tooling and has received a bona fide third party offer to purchase any or all of the tooling
5. Consequent: IBM shall agree to purchase such tooling on the same terms and conditions as such third party offer within [*] Days after receiving notice from MSL."
99,99,"A Termination Event shall have occurred if:<omitted>(c) Supplier either: (i) merges with another entity, (ii) suffers a transfer involving fifty (50%) percent or more of any class of its voting securities or (iii) transfers all, or substantially all, of its assets;","1. Norm type: commitment
2. Subject: Supplier
3. Object: Not specified
4. Antecedent: Supplier either merges with another entity, suffers a transfer involving fifty (50%) percent or more of any class of its voting securities, or transfers all, or substantially all, of its assets
5. Consequent: A Termination Event shall have occurred"
